basename	artwork_path	staged_pdf_recipe_or_pdf	bought	classes_present
CNX_Chem_05_02_Calorim2	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_05/Source_File/CNX_Chem_05_02_Calorim2.pdf	pdf	0	persistent-gstate
CNX_Chem_05_02_FoodLabel	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_05/Source_File/CNX_Chem_05_02_FoodLabel.pdf	pdf	0	persistent-gstate
CNX_Chem_05_02_HeatMeas	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_05/Source_File/CNX_Chem_05_02_HeatMeas.pdf	pdf	0	persistent-gstate
CNX_Chem_05_02_HeatTrans2	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_05/Source_File/CNX_Chem_05_02_HeatTrans2.pdf	pdf	0	persistent-gstate
CNX_Chem_05_02_IcePack	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_05/Source_File/CNX_Chem_05_02_IcePack.pdf	pdf	0	persistent-gstate
CNX_Chem_05_03_AlgalFuel1	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_05/Source_File/CNX_Chem_05_03_AlgalFuel1.pdf	pdf	0	persistent-gstate
CNX_Chem_05_03_AlgalFuel2	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_05/Source_File/CNX_Chem_05_03_AlgalFuel2.pdf	pdf	0	persistent-gstate
CNX_Chem_05_03_HessCO2	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_05/Source_File/CNX_Chem_05_03_HessCO2.pdf	pdf	0	persistent-gstate
CNX_Chem_05_03_Summit	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_05/Source_File/CNX_Chem_05_03_Summit.pdf	pdf	0	persistent-gstate
CNX_Chem_05_03_Systemqw	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_05/Source_File/CNX_Chem_05_03_Systemqw.pdf	pdf	0	persistent-gstate
CNX_Chem_06_01_2spectra	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_06/Source_File/CNX_Chem_06_01_2spectra.pdf	pdf	0	persistent-gstate
CNX_Chem_06_01_AMFM	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_06/Source_File/CNX_Chem_06_01_AMFM.pdf	pdf	0	persistent-gstate
CNX_Chem_06_01_Blackbody	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_06/Source_File/CNX_Chem_06_01_Blackbody.pdf	pdf	0	persistent-gstate
CNX_Chem_06_01_Ephoton	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_06/Source_File/CNX_Chem_06_01_Ephoton.pdf	pdf	0	persistent-gstate
CNX_Chem_06_01_Solardist	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_06/Source_File/CNX_Chem_06_01_Solardist.pdf	pdf	0	persistent-gstate
CNX_Chem_06_01_emspectrum	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_06/Source_File/CNX_Chem_06_01_emspectrum.pdf	pdf	0	persistent-gstate
CNX_Chem_06_03_OrbOutline_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_06/Source_File/CNX_Chem_06_03_OrbOutline_img.pdf	pdf	0	persistent-gstate
CNX_Chem_06_03_Oshapes	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_06/Source_File/CNX_Chem_06_03_Oshapes.pdf	pdf	0	persistent-gstate
CNX_Chem_06_04_Beryll12_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_06/Source_File/CNX_Chem_06_04_Beryll12_img.pdf	pdf	0	persistent-gstate
